iter	Passed	Remaining
0	0	449
1	0	461
2	1	464
3	1	446
4	2	422
5	2	419
6	2	409
7	3	416
8	4	476
9	4	462
10	5	449
11	5	437
12	5	429
13	5	420
14	6	414
15	6	407
16	6	401
17	7	400
18	7	402
19	8	399
20	8	395
21	8	392
22	9	389
23	9	387
24	9	385
25	10	382
26	10	380
27	10	379
28	11	376
29	11	374
30	11	373
31	12	371
32	12	369
33	12	368
34	13	367
35	13	365
36	13	364
37	14	363
38	14	364
39	15	366
40	15	366
41	15	364
42	16	362
43	16	361
44	17	360
45	17	360
46	17	359
47	18	358
48	18	359
49	18	358
50	19	357
51	19	356
52	19	355
53	20	354
54	20	353
55	20	352
56	21	352
57	21	353
58	22	353
59	22	352
60	22	351
61	23	350
62	23	350
63	23	349
64	24	348
65	24	347
66	24	346
67	25	345
68	25	345
69	25	343
70	26	342
71	26	341
72	26	340
73	27	340
74	27	339
75	27	338
76	28	338
77	28	338
78	28	338
79	29	337
80	29	336
81	30	336
82	30	334
83	30	333
84	30	333
85	31	333
86	31	332
87	32	332
88	32	331
89	32	330
90	33	330
91	33	329
92	33	329
93	34	329
94	34	329
95	34	329
96	35	328
97	35	328
98	36	328
99	36	328
100	36	328
101	37	328
102	37	330
103	38	331
104	38	330
105	39	329
106	39	329
107	39	328
108	40	328
109	40	327
110	40	327
111	41	326
112	41	325
113	42	326
114	42	326
115	42	327
116	43	326
117	43	326
118	43	325
119	44	324
120	44	324
121	44	323
122	45	323
123	45	322
124	46	322
125	46	322
126	46	322
127	47	321
128	47	320
129	47	320
130	48	319
131	49	323
132	49	323
133	49	322
134	50	322
135	50	321
136	50	321
137	51	320
138	51	319
139	51	319
140	52	318
141	52	317
142	52	317
143	53	316
144	53	316
145	53	315
146	54	315
147	54	315
148	55	315
149	55	315
150	55	314
151	56	314
152	56	314
153	57	313
154	57	313
155	57	313
156	58	312
157	58	312
158	58	311
159	59	310
160	59	310
161	59	309
162	60	309
163	60	308
164	60	308
165	61	308
166	62	311
167	62	311
168	63	310
169	63	309
170	63	309
171	64	308
172	64	308
173	64	307
174	65	307
175	65	307
176	66	306
177	66	306
178	66	306
179	67	305
180	67	305
181	67	305
182	68	304
183	68	304
184	69	304
185	69	303
186	69	302
187	70	302
188	70	301
189	70	301
190	71	300
191	71	300
192	71	299
193	72	299
194	72	298
195	72	298
196	73	297
197	73	297
198	73	297
199	74	296
200	74	296
201	74	296
202	75	295
203	75	295
204	75	294
205	76	294
206	76	293
207	77	293
208	77	293
209	77	292
210	78	292
211	78	291
212	78	291
213	79	291
214	79	290
215	79	290
216	80	289
217	80	289
218	80	288
219	81	288
220	81	288
221	82	287
222	82	287
223	82	286
224	83	286
225	83	285
226	83	285
227	84	284
228	84	284
229	84	284
230	85	283
231	85	283
232	85	282
233	86	282
234	86	281
235	87	281
236	87	281
237	87	281
238	88	280
239	88	280
240	88	280
241	89	279
242	89	279
243	89	278
244	90	278
245	90	278
246	91	277
247	91	277
248	91	276
249	92	276
250	92	276
251	92	275
252	93	275
253	93	275
254	93	274
255	94	274
256	94	274
257	95	273
258	95	273
259	96	273
260	96	273
261	96	272
262	97	272
263	97	271
264	97	271
265	98	271
266	98	270
267	98	270
268	99	269
269	99	269
270	99	268
271	100	268
272	100	268
273	101	267
274	101	267
275	101	267
276	102	266
277	102	266
278	102	266
279	103	265
280	103	265
281	103	264
282	104	264
283	104	263
284	105	263
285	105	263
286	105	262
287	106	262
288	106	261
289	106	261
290	107	261
291	107	260
292	108	260
293	109	262
294	109	261
295	109	261
296	110	260
297	110	260
298	110	260
299	111	259
300	111	259
301	112	259
302	112	258
303	112	258
304	113	258
305	113	258
306	114	258
307	114	257
308	115	257
309	115	256
310	115	256
311	116	255
312	116	255
313	116	254
314	117	254
315	117	254
316	117	253
317	118	253
318	118	252
319	118	252
320	119	251
321	119	251
322	119	251
323	120	251
324	120	250
325	121	250
326	121	249
327	121	249
328	122	249
329	122	248
330	122	248
331	123	247
332	123	247
333	123	246
334	124	246
335	124	246
336	124	245
337	125	245
338	125	244
339	125	244
340	126	244
341	126	243
342	127	243
